query,instruction,context,predicted_label,confidence,reasoning,think
How can you use technology to improve your customer service? nan,How can you use technology to improve your customer service?,,0,1.0,"This is a general question seeking advice or strategies that can typically be answered using common knowledge about customer service technologies, without requiring specific external data.",
"Sort the numbers 15, 11, 9, 22. nan","Sort the numbers 15, 11, 9, 22.",,0,1.0,"This query involves sorting numbers, which can be done using basic computational logic without requiring external information.",
Create a list of 8 questions to ask prospective online tutors. nan,Create a list of 8 questions to ask prospective online tutors.,,0,1.0,"This task involves generating a list of general interview questions for prospective tutors, which can be accomplished using common knowledge and doesn't require external factual data.",
"Rewrite the given poem so that it rhymes This world was far from perfect,
As the shadows have shown.
The wickedness won’t relent,
As the risks have grown.",Rewrite the given poem so that it rhymes,"This world was far from perfect,
As the shadows have shown.
The wickedness won’t relent,
As the risks have grown.",0,1.0,This query involves creative writing (rhyming) based on the provided poem. Such tasks rely on the model's internal capabilities for generating text and do not require external factual information.,
Provide a realistic context for the following sentence. She was frustrated and angry.,Provide a realistic context for the following sentence.,She was frustrated and angry.,0,1.0,"This query asks for a creative task of generating context, which can be handled by the language model using its general knowledge and reasoning capabilities without needing external data retrieval.",
"Change the text so that it follows the humorous tone.

John and Amy bought a new car. nan","Change the text so that it follows the humorous tone.

John and Amy bought a new car.",,0,1.0,"This query involves modifying text to achieve a humorous tone, which is a creative task that can be handled by paraphrasing or rephrasing without needing external factual data.",
List ten scientific names of animals. nan,List ten scientific names of animals.,,1,1.0,Listing ten specific scientific animal names requires detailed and precise information that is best retrieved from specialized databases or reliable sources.,
"Given a list of items, indicate which items are difficult to recycle. Cans, Plastic bags, Glass bottles","Given a list of items, indicate which items are difficult to recycle.","Cans, Plastic bags, Glass bottles",0,1.0,"The query involves identifying recyclability of common items, which can be answered using general knowledge without needing external sources.",
Identify a stylistic device used by the author in the following sentence. The cold breeze chills my bones.,Identify a stylistic device used by the author in the following sentence.,The cold breeze chills my bones.,0,1.0,"This query involves analyzing a sentence for stylistic devices, which can be addressed using general knowledge about literary techniques rather than requiring specific external information.",
"Determine the product of 3x + 5y x = 2, y = 3",Determine the product of 3x + 5y,"x = 2, y = 3",0,1.0,This is a straightforward mathematical calculation that can be solved using basic algebra without requiring external information.,
Generate a title for the article given the following text. Scientists have found a new species of plant living in the high mountains of South America.,Generate a title for the article given the following text.,Scientists have found a new species of plant living in the high mountains of South America.,0,1.0,"This query asks for a title based on provided text, which can be answered by summarizing the given information without requiring external factual data.",
Create a small animation to represent a task. Ticket Booking,Create a small animation to represent a task.,Ticket Booking,0,1.0,"This query involves creating an animation, which is a generative task rather than requiring factual information. It can be addressed through general knowledge about workflows or user interface design without needing external data retrieval.",
"Generate a deeper understanding of the idiom ""bringing home the bacon"". nan","Generate a deeper understanding of the idiom ""bringing home the bacon"".",,0,1.0,"This query asks for an explanation of a common idiom, which can be answered using general knowledge without requiring specific external data.",
Identify and correct the subject verb agreement error in the sentence. The box of tools are in the garage.,Identify and correct the subject verb agreement error in the sentence.,The box of tools are in the garage.,0,1.0,"This query asks for a grammatical correction, which involves identifying and fixing subject-verb agreement errors in a specific sentence. Since this is a matter of applying known grammar rules rather than requiring external data or facts, retrieval isn't needed.",
Write a design document to describe a mobile game idea. Game Idea: A battle royale game with a superhero and villain theme.,Write a design document to describe a mobile game idea.,Game Idea: A battle royale game with a superhero and villain theme.,0,1.0,"This query involves creating a design document for a game idea, which is a task of synthesis rather than fact-checking. It requires outlining ideas but not specific external data.",
Infer the meaning of the phrase “you’re going over the top with that.” nan,Infer the meaning of the phrase “you’re going over the top with that.”,,0,1.0,"The query asks for the interpretation of a common idiom. Since idioms are part of general knowledge that many people know and language models are trained on this kind of information, no external retrieval is needed.",
Name two players from the Chiefs team? nan,Name two players from the Chiefs team?,,0,1.0,"This query requests information about two Chiefs' players, which is a fact-based question but likely within common knowledge and doesn't require specialized external retrieval.",
Identify the chemical reaction type for the following equation. Al + O2 → Al2O3,Identify the chemical reaction type for the following equation.,Al + O2 → Al2O3,0,1.0,"This query asks for identifying a chemical reaction type from a given equation, which is a fundamental concept that can be answered using general scientific knowledge.",
"Generate a phrase using these words love, summer",Generate a phrase using these words,"love, summer",0,1.0,This query asks for creative writing using specific words and does not require factual or external data; it can be handled by the language model's ability to generate text.,
Split the following sentence into two separate sentences. He said hello and waved goodbye.,Split the following sentence into two separate sentences.,He said hello and waved goodbye.,0,1.0,"This task involves splitting a sentence based on grammar and structure, which a language model can handle without external information.",
Generate a list of 10 items one would need to prepare a simple sandwich nan,Generate a list of 10 items one would need to prepare a simple sandwich,,0,1.0,"This query asks for a list of common items needed to make a simple sandwich, which can be answered using general knowledge without requiring specific external data.",
Create a list of website ideas that can help busy people. nan,Create a list of website ideas that can help busy people.,,0,1.0,"This query asks for a list of website ideas to help busy people, which can be answered using general knowledge of productivity tools and resources without requiring external data.",
Write a general overview of quantum computing nan,Write a general overview of quantum computing,,0,1.0,"This query requests a general introduction to quantum computing, which is a broad topic covered in common knowledge and can be addressed by summarizing known concepts without needing specific external facts.",
