query,instruction,context,predicted_label,confidence,reasoning,think
Tayuya nan,Tayuya,,1,1.0,"The query asks for information about ""Tayuya,"" which appears to be a proper noun (likely a name) that may require specific factual data to answer accurately.",
"Roleplay as Albert Einstein explaining the theory of relativity to a curious high school student.Hi, Mr. Einstein! I've been really curious about your theory of relativity. Can you explain it in simple terms?  nan","Roleplay as Albert Einstein explaining the theory of relativity to a curious high school student.Hi, Mr. Einstein! I've been really curious about your theory of relativity. Can you explain it in simple terms? ",,0,1.0,"This query asks for a simple explanation of a well-known scientific concept (Einstein's theory of relativity), which can be answered using general knowledge without requiring specific external information.",
Imagine you are a detective solving a mysterious theft at an art gallery. How would you approach the investigation?  nan,Imagine you are a detective solving a mysterious theft at an art gallery. How would you approach the investigation? ,,0,1.0,"This query asks for a creative problem-solving approach in a hypothetical scenario, which does not require specific factual information but can be answered using general knowledge and reasoning.",
Take on the role of a time-traveling historian from the year 2500. Describe the most significant event that occurred in the 22nd century and its impact on society.  nan,Take on the role of a time-traveling historian from the year 2500. Describe the most significant event that occurred in the 22nd century and its impact on society. ,,0,1.0,"This task requires imaginative storytelling rather than factual information, so no external retrieval is needed.",
"Imagine you are Amelia Earhart, the famous aviator, sharing advice about overcoming obstacles and achieving success in aviation with a young, aspiring female pilot.Young Pilot: Ms. Earhart, I really look up to you and admire your achievements in aviation. As a woman, did you face any obstacles? How did you manage to succeed despite the challenges?  nan","Imagine you are Amelia Earhart, the famous aviator, sharing advice about overcoming obstacles and achieving success in aviation with a young, aspiring female pilot.Young Pilot: Ms. Earhart, I really look up to you and admire your achievements in aviation. As a woman, did you face any obstacles? How did you manage to succeed despite the challenges? ",,0,1.0,"This query seeks advice based on Amelia Earhart's known experiences and quotes, which are part of general knowledge that a language model can answer without external retrieval.",
"*I hesitate, unsure if I can trust her.* What kind of object? What kind of information? nan","*I hesitate, unsure if I can trust her.* What kind of object? What kind of information?",,0,1.0,"The query appears to express uncertainty and asks for clarification on ""what kind of object"" or ""information,"" but it's unclear what specific external information is needed. The language model may be able to provide general advice without requiring external data retrieval.",
"*You raise your sword to block Brawn's attack, pushing against his shield with all your strength.* Get used to it, you're not the only one who knows how to fight here. nan","*You raise your sword to block Brawn's attack, pushing against his shield with all your strength.* Get used to it, you're not the only one who knows how to fight here.",,0,1.0,"This appears to be a creative or narrative statement rather than a question requiring factual information. It does not ask for specific data, facts, or details that would necessitate external retrieval.",
"Assume the role of a seasoned detective in a futuristic cyberpunk city. Analyze the crime scene in the following description and determine the most likely cause of the victim's death.The crime scene is located in a dimly lit alleyway. The victim lies on the ground, a single gunshot wound to the chest. There are no shell casings, but you notice a faint smell of burned wiring. A small drone is found crashed nearby, and its camera feed has been wiped. The victim's cybernetic arm appears hacked and disabled.  nan","Assume the role of a seasoned detective in a futuristic cyberpunk city. Analyze the crime scene in the following description and determine the most likely cause of the victim's death.The crime scene is located in a dimly lit alleyway. The victim lies on the ground, a single gunshot wound to the chest. There are no shell casings, but you notice a faint smell of burned wiring. A small drone is found crashed nearby, and its camera feed has been wiped. The victim's cybernetic arm appears hacked and disabled. ",,1,1.0,"This query involves analyzing a detailed and complex crime scene in a futuristic setting, requiring specialized knowledge of technology, forensic science, and cybersecurity to determine the cause of death. External information is likely needed for an accurate analysis.",
"*I take a step back, trying to stay out of his reach.* Whoa, man! I didn’t do anything to you! You got the wrong guy! nan","*I take a step back, trying to stay out of his reach.* Whoa, man! I didn’t do anything to you! You got the wrong guy!",,0,1.0,This is a personal statement expressing frustration without asking for specific information; it does not require external retrieval.,
"Brianna had never really seen anything quite like Lunamon before. She had never even heard of Digimon either. Well actually, that was a partial lie. Shehadheard of Digimon, but never actually thought they could ever be real. See, Brianna had only ever heard of Digimon because she had often enjoyed watching the cartoon series called Digimon. It had been quite some time since she had seen it though, and the only series she had ever seen was Series one. It had been nearly ten years since she had seen Digimon last, which was probably why she wasn't so familiar with it anymore. Besides, she enjoyed watching other things on television now with the music channel being one of the main things she would watch. Not that any of that was important right now. nan","Brianna had never really seen anything quite like Lunamon before. She had never even heard of Digimon either. Well actually, that was a partial lie. Shehadheard of Digimon, but never actually thought they could ever be real. See, Brianna had only ever heard of Digimon because she had often enjoyed watching the cartoon series called Digimon. It had been quite some time since she had seen it though, and the only series she had ever seen was Series one. It had been nearly ten years since she had seen Digimon last, which was probably why she wasn't so familiar with it anymore. Besides, she enjoyed watching other things on television now with the music channel being one of the main things she would watch. Not that any of that was important right now.",,0,1.0,"This is a narrative that describes Brianna's experiences and thoughts, which are self-contained within the text provided. No external retrieval is needed to understand or respond to this passage.",
