query,instruction,predicted_label,confidence,reasoning,think
When did Virgin Australia start operating?,When did Virgin Australia start operating?,1,1.0,This query asks for a specific historical fact (a start date) that is unlikely to be deduced purely from context and requires external factual data.,
When was Tomoaki Komorida born?,When was Tomoaki Komorida born?,1,1.0,This query requests a specific fact (a birth date) that is unlikely to be known by a language model without external data retrieval.,
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,1,1.0,"This query asks for specific information about a particular basketball game, which is best answered by retrieving external data on the matchup and scores.",
Who was the first to record the Needles and Pins song?,Who was the first to record the Needles and Pins song?,1,1.0,"The query seeks specific historical information about the origin of a song, which necessitates factual data retrieval.",
When was the first Reading railway station opened?,When was the first Reading railway station opened?,1,1.0,The query seeks a specific historical fact (the opening date) that is not commonly known and would require external factual data to provide an accurate answer.,
How many managers have Arsenal had?,How many managers have Arsenal had?,1,1.0,"This query asks for a specific count of managers at Arsenal, which requires detailed historical data and cannot be reliably answered from general knowledge alone.",
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,1,1.0,"This query asks for specific, detailed information about a particular event (the first goal scorer) during a specific time period (2021 MLS season), which requires external factual data to answer accurately.",
How long does it take for a mustard seed to germinate?,How long does it take for a mustard seed to germinate?,1,1.0,"The query asks for a specific timeframe related to plant germination, which is a factual question that may require detailed or specialized information based on agricultural or botanical data.",
"Who coined the phrase ""Bike-shedding"" and when?","Who coined the phrase ""Bike-shedding"" and when?",1,1.0,"This query asks for specific historical information about the origin of a term, which is likely not general knowledge and requires external sources to answer accurately.",
Which American president spoke Dutch as their first language?,Which American president spoke Dutch as their first language?,1,1.0,"This query asks for a specific historical fact about an American president who spoke Dutch as their first language. While there is a known candidate (Martin Van Buren), confirming details requires external sources to ensure accuracy.",
Was Furze Hill an established community in the 19th century?,Was Furze Hill an established community in the 19th century?,1,1.0,"This query asks for specific historical information about whether Furze Hill was an established community in the 19th century, which requires factual data likely unavailable to the language model.",
What event John Johnstone won as a rider?,What event John Johnstone won as a rider?,1,1.0,"This query asks about specific events won by John Johnstone as a rider, which requires detailed factual information that may not be widely known and thus necessitates external data retrieval.",
Can you tell me something about Stanley J. Goldberg,Can you tell me something about Stanley J. Goldberg,1,1.0,"This query seeks information about a specific person, Stanley J. Goldberg, which may require factual data not available in general knowledge.",
What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,1,1.0,"This query seeks specific historical information about Bethesda's prior game engine and the final title created with it, necessitating external data retrieval to provide accurate answers.",
What is the old name for The Go Between Bridge?,What is the old name for The Go Between Bridge?,1,1.0,"This query seeks a specific historical fact about the name change of a particular bridge, which necessitates external data for an accurate answer.",
When was Lamb Air operating,When was Lamb Air operating,1,1.0,"This query asks for the operating period of Lamb Air, which is a specific fact requiring historical data that a language model may not have access to without external retrieval.",
"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?","What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",1,1.0,"This query requires detailed information about Cisco's specialization, technology markets, and successful products, which necessitates external data for accuracy.",
What are the causes for Sensory processing disorder?,What are the causes for Sensory processing disorder?,1,1.0,"This query seeks specific information about the causes of Sensory Processing Disorder, which requires access to current research or specialized knowledge not typically covered by general knowledge.",
Which of the 10 largest earthquakes was the deadliest?,Which of the 10 largest earthquakes was the deadliest?,1,1.0,"This query asks for a specific historical fact about earthquakes and their casualties, requiring detailed external data to identify the deadliest among the top 10 largest.",
"According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.","According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.",1,1.0,"This query asks for specific information that must be retrieved and extracted from the given text about UVA alumni who have won Pulitzers, requiring detailed analysis of external data.",
Which is longest road or highway or motorway in the world,Which is longest road or highway or motorway in the world,1,1.0,"This query seeks specific information about the longest road globally, which is a fact-based question requiring external data for an accurate answer.",
