query,instruction,context,predicted_label,confidence,reasoning
What are the best selling albums of all time? Give me the list with the name of the artist and the name of the album ,What are the best selling albums of all time? Give me the list with the name of the artist and the name of the album,,1,1.0,
"Given this paragraph about magnesium, what is the melting point of magnesium in celsius? Elemental magnesium is a gray-white lightweight metal, two-thirds the density of aluminium. Magnesium has the lowest melting (923 K (650 °C)) and the lowest boiling point 1,363 K (1,090 °C) of all the alkaline earth metals.","Given this paragraph about magnesium, what is the melting point of magnesium in celsius?","Elemental magnesium is a gray-white lightweight metal, two-thirds the density of aluminium. Magnesium has the lowest melting (923 K (650 °C)) and the lowest boiling point 1,363 K (1,090 °C) of all the alkaline earth metals.",0,1.0,The melting point of magnesium is explicitly stated in the provided paragraph in Celsius.
How do I pick the best bananas? ,How do I pick the best bananas?,,1,1.0,"This query seeks specific advice on selecting bananas, likely involving factors like ripeness and quality, which would require external knowledge about fruit selection."
"Extract the teams that Bob Sanders played throughout his career, and put them in a comma-separated list. Demond ""Bob"" Sanders (born February 24, 1981) is an American former professional football player who was a safety in the National Football League (NFL) for eight seasons. He played college football for the Iowa Hawkeyes and was drafted by the Indianapolis Colts in the second round of the 2004 NFL Draft. He was named NFL Defensive Player of the Year in 2007 and also played for the San Diego Chargers in his final season in 2011.

Sanders was nicknamed ""The Sandman"" because of his hard hits and tackles, and was also called ""The Eraser"" by former Colts' coach Tony Dungy because of his tendency to erase the mistakes of his teammates. He spent the majority of his career battling injuries, having played more than six games in a single season only twice, in 2005 and 2007.","Extract the teams that Bob Sanders played throughout his career, and put them in a comma-separated list.","Demond ""Bob"" Sanders (born February 24, 1981) is an American former professional football player who was a safety in the National Football League (NFL) for eight seasons. He played college football for the Iowa Hawkeyes and was drafted by the Indianapolis Colts in the second round of the 2004 NFL Draft. He was named NFL Defensive Player of the Year in 2007 and also played for the San Diego Chargers in his final season in 2011.

Sanders was nicknamed ""The Sandman"" because of his hard hits and tackles, and was also called ""The Eraser"" by former Colts' coach Tony Dungy because of his tendency to erase the mistakes of his teammates. He spent the majority of his career battling injuries, having played more than six games in a single season only twice, in 2005 and 2007.",1,1.0,"The query asks for a specific list of teams, which requires extracting information from the provided text."
Who was the 27th president of the United States of America? ,Who was the 27th president of the United States of America?,,1,1.0,
"What are the Wimbledon Championships? The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.",What are the Wimbledon Championships?,"The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.",0,1.0,"This query asks for a general description of the Wimbledon Championships, which can be answered by a language model's general knowledge about the topic."
"Classify each of the following as characters from books J.K. Rowling has written or books that Suzanne Collins has written: Peeta Mellark, Katness Everdeen, Effie Trinket, Seneca Crane, Lucy Gray, Cinna, Harry Potter, Severus Snape, Hermione Granger, Albus Dumbledore ","Classify each of the following as characters from books J.K. Rowling has written or books that Suzanne Collins has written: Peeta Mellark, Katness Everdeen, Effie Trinket, Seneca Crane, Lucy Gray, Cinna, Harry Potter, Severus Snape, Hermione Granger, Albus Dumbledore",,1,1.0,"This query requires identifying specific characters from two distinct book series, which necessitates looking up information about the authors' works and their respective characters."
"Who is Micky Mouse? Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. The character’s status as a small mouse is personified through his diminutive stature and falsetto voice, the latter of which was originally provided by Disney. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time.",Who is Micky Mouse?,"Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. The character’s status as a small mouse is personified through his diminutive stature and falsetto voice, the latter of which was originally provided by Disney. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time.",0,1.0,
"How much did Shaffer donate? In 2018, Butler County Community College created The Shaffer School of Nursing and Allied Health after Shaffer donated $1 million to the school.",How much did Shaffer donate?,"In 2018, Butler County Community College created The Shaffer School of Nursing and Allied Health after Shaffer donated $1 million to the school.",1,1.0,The query asks for a specific numerical value (the donation amount) which is mentioned in the provided context but requires extracting that specific piece of information.
What is a piano? ,What is a piano?,,0,1.0,This is a general knowledge question about a common musical instrument. A language model should be able to provide a definition of a piano without needing to access external information.
What is the meaning of the information age ,What is the meaning of the information age,,0,1.0,"The meaning of the ""information age"" is a concept that can be explained using general knowledge and understanding of societal trends, not requiring specific external data retrieval."
"Who is Silvio Micali? Silvio Micali (born October 13, 1954) is an Italian computer scientist, professor at the Massachusetts Institute of Technology and the founder of Algorand, a proof-of-stake blockchain cryptocurrency protocol. Micali's research at the MIT Computer Science and Artificial Intelligence Laboratory centers on cryptography and information security.

In 2012, he received the Turing Award for his work in cryptography along with Shafi Goldwasser for their work on zero-knowledge proofs.",Who is Silvio Micali?,"Silvio Micali (born October 13, 1954) is an Italian computer scientist, professor at the Massachusetts Institute of Technology and the founder of Algorand, a proof-of-stake blockchain cryptocurrency protocol. Micali's research at the MIT Computer Science and Artificial Intelligence Laboratory centers on cryptography and information security.

In 2012, he received the Turing Award for his work in cryptography along with Shafi Goldwasser for their work on zero-knowledge proofs.",0,1.0,"The query and its provided context offer a complete description of Silvio Micali, eliminating the need for external retrieval."
"How does the J programming language improve upon the syntax of APL? The J programming language, developed in the early 1990s by Kenneth E. Iverson and Roger Hui, is an array programming language based primarily on APL (also by Iverson).

To avoid repeating the APL special-character problem, J uses only the basic ASCII character set, resorting to the use of the dot and colon as inflections to form short words similar to digraphs. Most such primary (or primitive) J words serve as mathematical symbols, with the dot or colon extending the meaning of the basic characters available. Also, many characters which in other languages often must be paired (such as [] {} """" `` or <>) are treated by J as stand-alone words or, when inflected, as single-character roots of multi-character words.",How does the J programming language improve upon the syntax of APL?,"The J programming language, developed in the early 1990s by Kenneth E. Iverson and Roger Hui, is an array programming language based primarily on APL (also by Iverson).

To avoid repeating the APL special-character problem, J uses only the basic ASCII character set, resorting to the use of the dot and colon as inflections to form short words similar to digraphs. Most such primary (or primitive) J words serve as mathematical symbols, with the dot or colon extending the meaning of the basic characters available. Also, many characters which in other languages often must be paired (such as [] {} """" `` or <>) are treated by J as stand-alone words or, when inflected, as single-character roots of multi-character words.",1,1.0,
What are some places to visit in Anchorage? ,What are some places to visit in Anchorage?,,1,1.0,"This query requires specific information about tourist destinations in Anchorage, which is likely to be found in travel guides or tourism websites rather than general knowledge."
"What did Jordan Akins do after retiring from baseball? Akins graduated from Union Grove High School in McDonough, Georgia. He earned All-State honors as both a junior and senior, as well as All-Conference as a sophomore. He committed and signed to play football for the UCF Knights, choosing the Knights over schools such as LSU and Georgia. However, after being drafted by the Texas Rangers in the third round of the 2010 MLB Draft, he chose to pursue a baseball career instead of attending UCF and signed with the Rangers. Akins struggled in the minor leagues, hitting .218 over four seasons and never rising above high-A ball. He retired from baseball after the 2013 season and returned to play football at UCF.",What did Jordan Akins do after retiring from baseball?,"Akins graduated from Union Grove High School in McDonough, Georgia. He earned All-State honors as both a junior and senior, as well as All-Conference as a sophomore. He committed and signed to play football for the UCF Knights, choosing the Knights over schools such as LSU and Georgia. However, after being drafted by the Texas Rangers in the third round of the 2010 MLB Draft, he chose to pursue a baseball career instead of attending UCF and signed with the Rangers. Akins struggled in the minor leagues, hitting .218 over four seasons and never rising above high-A ball. He retired from baseball after the 2013 season and returned to play football at UCF.",0,1.0,The answer to the query is directly stated in the provided text: Akins returned to play football at UCF after retiring from baseball.
Let's think of a two different methods to learn how to skateboard ,Let's think of a two different methods to learn how to skateboard,,0,1.0,"This query is asking for creative suggestions or ideas, which can be generated by the language model itself without needing to retrieve external information."
What do you know about the city of Aberdeen in Scotland? ,What do you know about the city of Aberdeen in Scotland?,,1,1.0,"This query requests specific information about a particular city, including details likely not encompassed in a general language model's knowledge base."
"In the United States of America, which state is the largest in size? ","In the United States of America, which state is the largest in size?",,1,1.0,"This query requires specific geographical data about the size of US states, which is best obtained from a reliable external source."
"Identify from this list which are Crayola crayon colors: banana biscuits, razzle dazzle rose, whoopsie daisies, purple pizzazz, carnation pink, cotton candy, unmellow yellow, macaroni and cheese, coffee table blue, craisin, aquamarine, jazzberry jam, sea green ","Identify from this list which are Crayola crayon colors: banana biscuits, razzle dazzle rose, whoopsie daisies, purple pizzazz, carnation pink, cotton candy, unmellow yellow, macaroni and cheese, coffee table blue, craisin, aquamarine, jazzberry jam, sea green",,1,1.0,"This query requires accessing a specific list of Crayola crayon colors, which is external information not generally known by language models."
"Classify these technologies as frontend or backend oriented: React, Kafka, MySQL, JavaScript, gRPC, SQL, Prometheus, Android, Swift, Redis, JDBC ","Classify these technologies as frontend or backend oriented: React, Kafka, MySQL, JavaScript, gRPC, SQL, Prometheus, Android, Swift, Redis, JDBC",,1,1.0,"This query requires classifying technologies based on specific programming paradigms and software architecture, which necessitates looking up definitions and characteristics of each technology."
