query,instruction,predicted_label,confidence,reasoning,think
After how many hour from drinking an antibiotic can I drink alcohol?,After how many hour from drinking an antibiotic can I drink alcohol?,1,1.0,"This query seeks specific medical advice regarding the interaction between antibiotics and alcohol, which varies by antibiotic type and requires specialized knowledge beyond general information.",
Am I over weight (192.9) for my age (39)?,Am I over weight (192.9) for my age (39)?,0,1.0,"Determining weight status can generally be assessed using Body Mass Index (BMI), a formula-based calculation that most language models are aware of without requiring external data.",
Aspirin allergy - is it worth getting a bracelet?,Aspirin allergy - is it worth getting a bracelet?,0,1.0,"This question seeks general medical advice regarding the use of bracelets for allergies, which can typically be answered using common knowledge.",
"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?","At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?",1,1.0,"The query involves a specific medical scenario requiring detailed knowledge of infection risks and medical procedures, making external retrieval necessary.",
Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,0,1.0,"The query describes a personal dental experience but does not ask for specific factual information. It seeks advice, which could be addressed with general knowledge about dental procedures and follow-up.",
Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,1,1.0,"This query asks about specific side effects of a medication, which requires detailed medical knowledge. Retrieving external information is necessary to provide an accurate answer.",
Can coarctation of the aorta cause poor growth in height?,Can coarctation of the aorta cause poor growth in height?,1,1.0,"This query requires specific medical knowledge about the effects of coarctation of the aorta on growth, necessitating external factual data.",
Can doxycycline treat an ear infection?,Can doxycycline treat an ear infection?,1,1.0,"This query seeks specific medical information about the effectiveness of doxycycline in treating ear infections, which typically requires specialized knowledge or external sources for accurate answers.",
Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,1,1.0,This query asks about the effectiveness of vinegar in aiding sinus drainage and relates personal experience with it. Such a question requires specific medical or health-related information that is best retrieved from credible sources.,
Could chiari malformation cause pituitary problems or diabetes insipidus?,Could chiari malformation cause pituitary problems or diabetes insipidus?,1,1.0,"This query involves a specific medical condition and its potential complications, which require detailed medical knowledge that is best retrieved from external sources.",
Could homeopathy for acne help?,Could homeopathy for acne help?,1,1.0,"This query asks about the effectiveness of a specific alternative medical practice (homeopathy) for treating acne. To answer accurately, one would need to refer to medical literature or expert opinions, which is specialized external information.",
Could this med cause anxiety in a 12 year old?,Could this med cause anxiety in a 12 year old?,1,1.0,"This query asks about the potential side effects of a medication on a specific age group, which requires detailed medical knowledge that is typically found in external databases.",
Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,1,1.0,"This query involves specific symptoms related to insulin use, which may require medical expertise or external data to provide accurate advice.",
Does age increase the severity of eds symptoms/problems?,Does age increase the severity of eds symptoms/problems?,1,1.0,"This query pertains to the specific medical condition of Ehlers-Danlos Syndrome and asks about how age affects its severity, requiring specialized medical knowledge for an accurate response.",
Does dermonu work for acne scars?,Does dermonu work for acne scars?,1,1.0,"This query asks about the effectiveness of ""dermonu"" for acne scars, which requires specific product knowledge or evidence. Such detailed information typically necessitates external data sources.",
Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,1,1.0,"This query involves a medical question about symptoms related to ovulation, which may require specialized medical knowledge or factual data to answer accurately.",
Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,1,1.0,"The query involves specific medical symptoms (deja vu and panic attacks) that may indicate a health condition, requiring specialized medical knowledge to address accurately.",
Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,1,1.0,"This query presents specific health symptoms that likely require professional medical evaluation, necessitating external retrieval of medical information or consultation with a healthcare provider.",
"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg","Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",1,1.0,"This query involves specific medical terminology and findings from an ultrasound, requiring detailed medical knowledge to interpret and explain the results. Retrieval of specialized medical information is necessary.",
How can someone's happiness level affect someone's health?,How can someone's happiness level affect someone's health?,0,1.0,"This query asks for a general explanation of how happiness can influence health, which can be addressed using common knowledge about psychology and well-being without requiring specific external data.",
How common is it to have physical anxiety symptoms without feeling anxious?,How common is it to have physical anxiety symptoms without feeling anxious?,1,1.0,"This query asks for statistical or factual information about the prevalence of physical anxiety symptoms without emotional awareness, requiring specialized knowledge that isn't general and likely needs external sources.",
How do add and ADHD differ?,How do add and ADHD differ?,1,1.0,"This query seeks a detailed explanation of the differences between two medical terms, ADD and ADHD, which involves specific terminology and factual knowledge best retrieved externally.",
How do I know if I have depression and anxiety?,How do I know if I have depression and anxiety?,0,1.0,"This query seeks general knowledge about recognizing symptoms of depression and anxiety, which can typically be answered using established information without needing external data retrieval.",
How long does it take for herpes to break out?,How long does it take for herpes to break out?,0,1.0,"The incubation period for herpes is a well-known medical fact, typically 2 to 12 days, which most language models can answer without external retrieval.",
How many tylenol (acetaminophen) 3's are equal to  a percocet?,How many tylenol (acetaminophen) 3's are equal to  a percocet?,1,1.0,"This question asks for the specific equivalence between two medications based on their active ingredients, which requires detailed pharmacological information that is best retrieved from external sources.",
How much time off work do I take after an ACL reconstruction?,How much time off work do I take after an ACL reconstruction?,1,1.0,"The query asks for specific medical advice regarding recovery time after ACL reconstruction, which requires detailed medical knowledge that a language model may not have access to without external data.",
How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,0,1.0,"The query asks about the known mechanism of methotrexate in treating arthritis, which is a well-established medical fact that can be answered using general knowledge without external retrieval.",
